name,gamma
substituted_benzene_meta_0,9179.023
substituted_benzene_meta_1,12906.82
substituted_benzene_meta_10,18949.8
substituted_benzene_meta_100,15136.2
substituted_benzene_meta_101,6866.273
substituted_benzene_meta_102,8634.576
substituted_benzene_meta_103,24530.76
substituted_benzene_meta_104,12893.41
substituted_benzene_meta_105,18690.41
substituted_benzene_meta_106,11627.12
substituted_benzene_meta_107,19948.52
substituted_benzene_meta_108,12533.29
substituted_benzene_meta_109,21330.88
substituted_benzene_meta_11,13167.25
substituted_benzene_meta_110,11146.09
substituted_benzene_meta_111,11072.86
substituted_benzene_meta_112,11145.07
substituted_benzene_meta_113,18469.32
substituted_benzene_meta_114,11502.32
substituted_benzene_meta_115,22011.68
substituted_benzene_meta_116,15563.96
substituted_benzene_meta_117,10484.22
substituted_benzene_meta_118,19687.32
substituted_benzene_meta_119,12512.26
substituted_benzene_meta_12,18019.04
substituted_benzene_meta_13,14749.14
substituted_benzene_meta_14,11171.48
substituted_benzene_meta_15,11433.33
substituted_benzene_meta_16,11530.26
substituted_benzene_meta_17,10625.56
substituted_benzene_meta_18,11947.8
substituted_benzene_meta_19,11089.13
substituted_benzene_meta_2,10334.3
substituted_benzene_meta_20,19858.92
substituted_benzene_meta_21,12100.9
substituted_benzene_meta_22,14551.26
substituted_benzene_meta_23,20024.15
substituted_benzene_meta_24,12335.58
substituted_benzene_meta_25,13936.97
substituted_benzene_meta_26,21330.68
substituted_benzene_meta_27,8608.174
substituted_benzene_meta_28,18888.14
substituted_benzene_meta_29,10976.35
substituted_benzene_meta_3,12758.57
substituted_benzene_meta_30,15310.48
substituted_benzene_meta_31,14491.64
substituted_benzene_meta_32,11330.13
substituted_benzene_meta_33,14497.41
substituted_benzene_meta_34,20380.97
substituted_benzene_meta_35,10536.2
substituted_benzene_meta_36,10571.71
substituted_benzene_meta_37,5589.824
substituted_benzene_meta_38,18206.58
substituted_benzene_meta_39,13778.35
substituted_benzene_meta_4,16212.82
substituted_benzene_meta_40,13129.07
substituted_benzene_meta_41,14768.3
substituted_benzene_meta_42,18235.42
substituted_benzene_meta_43,21911.01
substituted_benzene_meta_44,9133.323
substituted_benzene_meta_45,14089.87
substituted_benzene_meta_46,10921.33
substituted_benzene_meta_47,18047.46
substituted_benzene_meta_48,11853.84
substituted_benzene_meta_49,12786.68
substituted_benzene_meta_5,10872.91
substituted_benzene_meta_50,11555.3
substituted_benzene_meta_51,20638.73
substituted_benzene_meta_52,25273.35
substituted_benzene_meta_53,9114.248
substituted_benzene_meta_54,10143.21
substituted_benzene_meta_55,7993.083
substituted_benzene_meta_56,11423.8
substituted_benzene_meta_57,8967.168
substituted_benzene_meta_58,27989.05
substituted_benzene_meta_59,9609.013
substituted_benzene_meta_6,12137.27
substituted_benzene_meta_60,18495.57
substituted_benzene_meta_61,21355.5
substituted_benzene_meta_62,9596.846
substituted_benzene_meta_63,15019.82
substituted_benzene_meta_64,12801.57
substituted_benzene_meta_65,9782.29
substituted_benzene_meta_66,8227.244
substituted_benzene_meta_67,17090.3
substituted_benzene_meta_68,16472.83
substituted_benzene_meta_69,10946.21
substituted_benzene_meta_7,13731.98
substituted_benzene_meta_70,13552.56
substituted_benzene_meta_71,17057.0
substituted_benzene_meta_72,14665.42
substituted_benzene_meta_73,15816.72
substituted_benzene_meta_74,9556.645
substituted_benzene_meta_75,12167.14
substituted_benzene_meta_76,10504.99
substituted_benzene_meta_77,17807.01
substituted_benzene_meta_78,11669.78
substituted_benzene_meta_79,16869.29
substituted_benzene_meta_8,11774.84
substituted_benzene_meta_80,22340.9
substituted_benzene_meta_81,13962.71
substituted_benzene_meta_82,8338.554
substituted_benzene_meta_83,14287.76
substituted_benzene_meta_84,13478.33
substituted_benzene_meta_85,16283.44
substituted_benzene_meta_86,15497.75
substituted_benzene_meta_87,10764.55
substituted_benzene_meta_88,12213.02
substituted_benzene_meta_89,20648.57
substituted_benzene_meta_9,12920.07
substituted_benzene_meta_90,27592.61
substituted_benzene_meta_91,10236.09
substituted_benzene_meta_92,12685.66
substituted_benzene_meta_93,30120.14
substituted_benzene_meta_94,12294.5
substituted_benzene_meta_95,14588.15
substituted_benzene_meta_96,7414.14
substituted_benzene_meta_97,13539.78
substituted_benzene_meta_98,22106.71
substituted_benzene_meta_99,11046.01
